Date,V,MA
2020-01-21,200.87860107421875,313.88702392578125
2020-01-22,201.4697265625,316.2075500488281
2020-01-23,200.1324005126953,316.8608703613281
2020-01-24,198.65940856933594,315.5835876464844
2020-01-27,195.45179748535156,307.8809814453125
2020-01-28,196.57598876953125,312.2685546875
2020-01-29,198.52374267578125,312.3172912597656
2020-01-30,201.77012634277344,316.3539123535156
2020-01-31,192.81593322753906,308.0467529296875
2020-02-03,194.59901428222656,316.41229248046875
2020-02-04,197.2639617919922,320.8974304199219
2020-02-05,196.53717041015625,320.1174621582031
2020-02-06,196.7600555419922,321.0729675292969
2020-02-07,196.4693145751953,318.8304748535156
2020-02-10,199.61883544921875,322.0284729003906
2020-02-11,197.6322021484375,322.6524658203125
2020-02-12,201.02395629882812,325.8115234375
2020-02-13,201.27626037597656,327.4495544433594
2020-02-14,204.0809326171875,332.4318542480469
2020-02-18,204.96409606933594,332.7146301269531
2020-02-19,207.01174926757812,335.95166015625
2020-02-20,205.20668029785156,335.84442138671875
2020-02-21,202.64466857910156,331.2131042480469
2020-02-24,192.92047119140625,316.55865478515625
2020-02-25,182.8372344970703,295.32275390625
2020-02-26,181.6824188232422,290.5939636230469
2020-02-27,174.6949920654297,278.67926025390625
2020-02-28,176.39334106445312,282.99859619140625
2020-03-02,186.65126037597656,299.0765686035156
2020-03-03,180.24607849121094,284.7048645019531
2020-03-04,188.55332946777344,294.80596923828125
2020-03-05,181.4398193359375,283.46661376953125
2020-03-06,178.9165496826172,279.8395690917969
2020-03-09,166.07720947265625,255.46412658691406
2020-03-10,177.2085418701172,273.5604553222656
2020-03-11,167.8434600830078,263.0205078125
2020-03-12,155.3534698486328,235.46649169921875
2020-03-13,170.63844299316406,263.26422119140625
2020-03-16,147.521728515625,229.76266479492188
2020-03-17,153.2281036376953,231.9369354248047
2020-03-18,144.09596252441406,222.23550415039062
2020-03-19,147.75462341308594,221.4749755859375
2020-03-20,142.49464416503906,206.13800048828125
2020-03-23,131.73208618164062,198.22085571289062
2020-03-24,149.96730041503906,231.14718627929688
2020-03-25,157.00326538085938,250.07220458984375
2020-03-26,163.8936309814453,256.6048583984375
2020-03-27,156.7897491455078,241.4628448486328
2020-03-30,160.68136596679688,246.92294311523438
2020-03-31,156.3627471923828,235.52503967285156
2020-04-01,148.58926391601562,222.89854431152344
2020-04-02,152.74285888671875,232.91195678710938
2020-04-03,147.366455078125,231.10813903808594
2020-04-06,164.4371337890625,259.2959289550781
2020-04-07,163.61219787597656,252.6072998046875
2020-04-08,169.7747344970703,264.58929443359375
2020-04-09,168.56158447265625,263.07562255859375
2020-04-13,164.00038146972656,257.1578674316406
2020-04-14,169.464111328125,264.3646545410156
2020-04-15,161.0598602294922,251.1034698486328
2020-04-16,157.62435913085938,240.9671173095703
2020-04-17,164.5341339111328,253.86703491210938
2020-04-20,159.37123107910156,245.82046508789062
2020-04-21,155.79017639160156,239.59022521972656
2020-04-22,161.67124938964844,250.87887573242188
2020-04-23,161.46742248535156,249.853515625
2020-04-24,162.3796844482422,252.6854248046875
2020-04-27,166.6885528564453,258.8960876464844
2020-04-28,166.1936492919922,258.3882751464844
2020-04-29,176.42242431640625,277.0301513671875
2020-04-30,173.44308471679688,268.51483154296875
2020-05-01,170.38609313964844,262.43109130859375
2020-05-04,170.94895935058594,262.9389343261719
2020-05-05,173.17138671875,267.548095703125
2020-05-06,173.50132751464844,266.0442810058594
2020-05-07,177.32496643066406,271.93267822265625
2020-05-08,179.625,275.80950927734375
2020-05-11,178.1402130126953,274.6279296875
2020-05-12,174.17095947265625,265.7220153808594
2020-05-13,172.1489715576172,262.84124755859375
2020-05-14,175.8527069091797,270.7999267578125
2020-05-15,178.37042236328125,272.3917236328125
2020-05-18,186.04026794433594,283.0943908691406
2020-05-19,184.07662963867188,283.9049072265625
2020-05-20,188.45108032226562,291.7853698730469
2020-05-21,185.3014678955078,287.35205078125
2020-05-22,185.53477478027344,287.98675537109375
2020-05-26,187.82891845703125,296.2091064453125
2020-05-27,187.4401092529297,292.732666015625
2020-05-28,188.8398895263672,295.20330810546875
2020-05-29,189.7926025390625,293.82635498046875
2020-06-01,188.9274139404297,294.3243713378906
2020-06-02,190.88133239746094,296.4630126953125
2020-06-03,191.37710571289062,299.8612976074219
2020-06-04,188.23719787597656,294.2950439453125
2020-06-05,194.04066467285156,304.5583801269531
2020-06-08,194.03094482421875,303.1229248046875
2020-06-09,193.52542114257812,304.177490234375
2020-06-10,194.88636779785156,305.7986145019531
2020-06-11,183.61000061035156,284.4126892089844
2020-06-12,186.89573669433594,290.79913330078125
2020-06-15,186.40965270996094,290.1936950683594
2020-06-16,187.4984588623047,297.3321533203125
2020-06-17,188.15943908691406,296.62908935546875
2020-06-18,188.4996795654297,297.6934509277344
2020-06-19,186.83740234375,289.5394287109375
2020-06-22,189.5203857421875,297.29302978515625
2020-06-23,192.44639587402344,299.67578125
2020-06-24,186.06944274902344,287.10784912109375
2020-06-25,188.56773376464844,291.0140075683594
2020-06-26,183.98912048339844,282.5475158691406
2020-06-29,186.04026794433594,286.05328369140625
2020-06-30,187.7803192138672,288.7582092285156
2020-07-01,188.37327575683594,294.0998229980469
2020-07-02,190.2106170654297,295.3204040527344
2020-07-06,192.2422637939453,298.39654541015625
2020-07-07,188.78160095214844,292.8694152832031
2020-07-08,189.6273193359375,293.49517822265625
2020-07-09,186.84710693359375,288.0584716796875
2020-07-10,187.17764282226562,289.124267578125
2020-07-13,183.7461395263672,283.7462463378906
2020-07-14,187.93589782714844,292.32177734375
2020-07-15,191.06602478027344,298.94171142578125
2020-07-16,188.1011199951172,292.712890625
2020-07-17,189.646728515625,297.3184814453125
2020-07-20,192.9324493408203,305.0433349609375
2020-07-21,190.99798583984375,300.780029296875
2020-07-22,193.3115692138672,306.42205810546875
2020-07-23,191.92147827148438,303.02899169921875
2020-07-24,189.70510864257812,300.1151123046875
2020-07-27,191.416015625,302.0119934082031
2020-07-28,191.25071716308594,299.5381774902344
2020-07-29,193.03936767578125,302.4422912597656
2020-07-30,188.64547729492188,302.1489562988281
2020-07-31,185.08761596679688,301.6894226074219
2020-08-03,185.36953735351562,305.65936279296875
2020-08-04,186.92489624023438,307.4194641113281
2020-08-05,190.6286163330078,320.7276916503906
2020-08-06,193.22410583496094,322.82025146484375
2020-08-07,190.88133239746094,320.7471923828125
2020-08-10,191.29931640625,315.7212219238281
2020-08-11,192.25198364257812,321.25579833984375
2020-08-12,193.19491577148438,320.3659362792969
2020-08-13,192.35765075683594,318.95782470703125
2020-08-14,191.44252014160156,319.5543518066406
2020-08-17,194.15875244140625,322.9082336425781
2020-08-18,193.7498321533203,323.66119384765625
2020-08-19,195.6775360107422,325.0301513671875
2020-08-20,198.75399780273438,329.84100341796875
2020-08-21,198.7345428466797,329.6259765625
2020-08-24,200.9542694091797,336.02099609375
2020-08-25,202.59959411621094,339.9517822265625
2020-08-26,204.7025146484375,343.2372741699219
2020-08-27,205.4521484375,348.1069030761719
2020-08-28,210.00843811035156,358.0025939941406
2020-08-31,206.38674926757812,350.24835205078125
2020-09-01,207.71084594726562,348.98687744140625
2020-09-02,210.7581024169922,352.7027282714844
2020-09-03,203.43685913085938,336.2165222167969
2020-09-04,199.25051879882812,327.5823059082031
2020-09-08,194.8305206298828,322.5660095214844
2020-09-09,198.66636657714844,332.1096496582031
2020-09-10,196.21299743652344,325.49951171875
2020-09-11,195.375732421875,322.8301086425781
2020-09-14,199.5620574951172,331.0926513671875
2020-09-15,199.96124267578125,331.6207275390625
2020-09-16,199.70809936523438,334.27056884765625
2020-09-17,199.84439086914062,331.904296875
2020-09-18,197.25469970703125,327.8266906738281
2020-09-21,192.23109436035156,320.5810546875
2020-09-22,195.25888061523438,327.8757019042969
2020-09-23,190.20606994628906,317.3346862792969
2020-09-24,190.35208129882812,320.93304443359375
2020-09-25,192.03636169433594,324.4238586425781
2020-09-28,195.02523803710938,330.8873596191406
2020-09-29,194.16848754882812,328.77520751953125
2020-09-30,194.68446350097656,330.6722412109375
2020-10-01,197.9751434326172,335.7569274902344
2020-10-02,196.13510131835938,331.3175354003906
2020-10-05,198.16009521484375,335.6396484375
2020-10-06,195.15182495117188,329.94866943359375
2020-10-07,197.11839294433594,336.27520751953125
2020-10-08,197.61489868164062,337.89044189453125
2020-10-09,201.17816162109375,344.9782409667969
2020-10-12,200.94454956054688,344.6355285644531
2020-10-13,198.91949462890625,338.5659484863281
2020-10-14,196.8555145263672,335.49200439453125
2020-10-15,194.2755889892578,331.4488830566406
2020-10-16,194.96678161621094,332.26141357421875
2020-10-19,191.76377868652344,324.6940002441406
2020-10-20,192.47447204589844,324.7429504394531
2020-10-21,193.18519592285156,326.4072265625
2020-10-22,192.75685119628906,326.5834045410156
2020-10-23,192.77626037597656,322.6773376464844
2020-10-26,187.96688842773438,311.37030029296875
2020-10-27,185.03643798828125,310.440185546875
2020-10-28,176.08929443359375,285.2513732910156
2020-10-29,179.9835968017578,287.0135498046875
2020-10-30,176.90711975097656,282.569091796875
2020-11-02,179.85702514648438,283.8710632324219
2020-11-03,183.3618621826172,289.17706298828125
2020-11-04,188.8430633544922,300.7386779785156
2020-11-05,192.4160614013672,309.8724060058594
2020-11-06,193.22415161132812,307.04327392578125
2020-11-09,207.05850219726562,337.3128662109375
2020-11-10,207.6719207763672,327.7386169433594
2020-11-11,207.07797241210938,325.39892578125
2020-11-12,203.06085205078125,321.3851623535156
2020-11-13,205.2254180908203,327.9832763671875
2020-11-16,207.38998413085938,328.39447021484375
2020-11-17,205.44970703125,329.42242431640625
2020-11-18,202.64158630371094,328.8741760253906
2020-11-19,202.38809204101562,326.85760498046875
2020-11-20,198.7902069091797,316.2063293457031
2020-11-23,202.96336364746094,325.0562438964844
2020-11-24,204.44537353515625,335.1885986328125
2020-11-25,205.62522888183594,334.14105224609375
2020-11-27,205.73245239257812,331.9383544921875
2020-11-30,205.09869384765625,329.43218994140625
2020-12-01,205.92745971679688,331.75238037109375
2020-12-02,204.9329071044922,333.0641784667969
2020-12-03,202.8560791015625,328.091064453125
2020-12-04,207.37051391601562,337.10736083984375
2020-12-07,207.3412322998047,333.7886047363281
2020-12-08,207.45826721191406,333.6221923828125
2020-12-09,204.34788513183594,329.7650451660156
2020-12-10,202.4270782470703,324.5471496582031
2020-12-11,201.09129333496094,320.5334167480469
2020-12-14,202.07606506347656,324.1848449707031
2020-12-15,203.1583709716797,326.6324157714844
2020-12-16,203.07064819335938,325.114990234375
2020-12-17,205.90794372558594,329.8139953613281
2020-12-18,206.03472900390625,333.1719055175781
2020-12-21,203.79214477539062,327.3372497558594
2020-12-22,200.70126342773438,325.25201416015625
2020-12-23,200.1747589111328,322.3052978515625
2020-12-24,203.4898681640625,328.9328918457031
2020-12-28,207.32176208496094,337.22479248046875
2020-12-29,209.0183563232422,339.36871337890625
2020-12-30,212.90870666503906,348.0716552734375
